id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
18466,Peaches,393 Lewis Abe.,Brooklyn,NY,TRUE,TRUE,Unmarked black doors by the entrance,you should be a customer,40.6818059,-73.9346505,2015-08-23 21:04:35.668000+00:00,2015-08-23 21:04:35.668000+00:00,1,10,US,FALSE,18466,TRUE,0.557663131,69.11590128
32318,Colina Cuervo ,759 Nostrand Ave ,Brooklyn ,NY,TRUE,TRUE,,,40.6712837,-73.9502392,2017-03-01 06:56:54.388000+00:00,2017-03-01 06:56:54.388000+00:00,0,0,US,FALSE,32318,TRUE,0.573138149,221.4131098
18455,Bedford Hall,1177 Bedford Ave.,Brooklyn,NY,TRUE,TRUE,,You need to be a customer.,40.6830827,-73.9535932,2015-08-22 16:07:42.593000+00:00,2015-08-22 16:07:42.593000+00:00,0,0,US,FALSE,18455,TRUE,0.599364339,297.4646031
32228,Berg'n,899 Bergen st.,Brooklyn ,NY,TRUE,TRUE,,,40.6773075,-73.9573236,2017-03-01 02:25:48.873000+00:00,2017-03-01 02:25:48.873000+00:00,0,0,US,FALSE,32228,TRUE,0.692495648,266.2154459
27858,Doris ,1088 fulton street ,brooklyn ,NY,TRUE,TRUE,"There is a first floor bathroom (accessible) and then there are three bathrooms downstairs. All are gender neutral, all private single stalls with functioning locks. ","It's a bar, so do you, though only open 5pm-2am, but no one will bother you about using the bathroom! Also, staff is nice. Alert them if you need assistance or do not feel safe. ",40.6812209,-73.9573954,2017-01-30 18:12:35.073000+00:00,2017-01-30 18:12:35.073000+00:00,0,0,US,FALSE,27858,TRUE,0.724773945,282.9440287
2827,Franklin Park,618 St. John's Place,Brooklyn,NY,TRUE,TRUE,By the skee ball machine!,"It's a fun bar, too!",40.6725066,-73.9578374,2014-02-02 20:53:02.593000+00:00,2014-02-02 20:53:02.593000+00:00,1,0,US,FALSE,2827,TRUE,0.816952156,247.4801056
41031,Gotham Market at the Ashland,Fulton Street,Brooklyn ,New York ,TRUE,TRUE,,,40.67921,-73.9280339,2018-04-20 22:14:46.991000+00:00,2018-04-20 22:14:46.991000+00:00,0,0,US,TRUE,41031,TRUE,0.847879036,86.33925349
20664,Bombay Heights,1047 Bedford Ave,Brooklyn,NY,TRUE,TRUE,Back of the restaurant,You must be a paying customer,40.6881596,-73.9545618,2016-03-27 18:08:57.095000+00:00,2016-03-27 18:08:57.095000+00:00,0,1,US,FALSE,20664,TRUE,0.87905961,313.8121002
29787,C'mon Everybody,325 Franklin Avenue,Brooklyn,NY,TRUE,TRUE,"One restroom on the left past the bar, another in the music room to the right of the stage",,40.6883159,-73.9568761,2017-02-25 19:55:08.768000+00:00,2017-02-25 19:55:08.768000+00:00,0,0,US,FALSE,29787,TRUE,0.966777924,308.5578609
19639,The Way Station,683 Washington Ave,Brooklyn,NY,TRUE,TRUE,"One large single (Tardis) which is accessible, second restroom labelled All Gender Lavatory  ",It is a bar. But pretty safe.,40.6767983,-73.9634083,2015-12-18 15:18:36.490000+00:00,2015-12-18 15:18:36.490000+00:00,0,0,US,FALSE,19639,TRUE,1.013212613,265.8993658
