id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
16251,Harding's,32 E 21st St,New York,NY,True,True,"Go past the bar and turn right through the doorway. The door is labeled ""WC"".",,40.7393229,-73.9887163,2015-03-07 15:21:39.372000+00:00,2015-03-07 15:21:39.372000+00:00,0,0,US,False,16251,True,4.826416088993901,323.91770589855
2410,Dyanna Body & Nail Salon-Spa:Brazilian Waxing:Hair Removal:Electrolysis:New York&#8206;,40 East 21st Street 10010,New York,NY,True,True,,You can pee before or after waxing.,40.739428,-73.988914,2014-02-02 20:52:25.771000+00:00,2014-02-02 20:52:25.771000+00:00,1,0,US,False,2410,True,4.837781541392323,323.843780049548
15876,the New School University,55 West 13th Street,New York,NY,True,True,"Between Fifth and Sixth Avenues, on the 13th St. side. Ask guards (there may be 2 there) if you can use the restrooms. They are on the same floor (no need to use the elevator) Make a left then a right, then left. There are 2 gender neutral handicap accessible restrooms. You may need to be a student, but I've had luck entering (you don't have to be a student, just ask)","Enter through doors all the way to the right of the 3 doors.
Open 24/7.",40.7364462,-73.99645319999999,2014-12-31 02:07:22.150000+00:00,2014-12-31 02:07:22.150000+00:00,0,2,United States,False,15876,True,4.869322120621631,318.092051281843
32995,Lion Brand Yarn Studio,34 W 15th St ,New York,NY,True,True,Next to cash register. ,LGBT friendly yarn shop. ,40.7372258,-73.99494440000001,2017-03-03 12:10:25.589000+00:00,2017-03-03 12:10:25.589000+00:00,1,0,US,False,32995,True,4.870335608388542,319.301269627254
37955,Lion Brand Yarn Studio ,34 West 15th St. ,New York,New York,True,True,To the left of the cash register area. ,,40.7372258,-73.99494440000001,2017-09-29 18:45:09.251000+00:00,2017-09-29 18:45:09.251000+00:00,0,0,US,True,37955,True,4.870335608388542,319.301269627254
34047,Starbucks,72 grove street ,New York ,NY,True,True,Right by Christopher Street stop on the 1 train. Not too far from West 4th street.,,40.7331729,-74.0027415,2017-04-14 02:01:35.952000+00:00,2017-04-14 02:01:35.952000+00:00,0,2,US,False,34047,True,4.884014924590225,313.190039516921
26203,EN,435 Hudson Street,New York City,NY,True,True,"Through the front door, head to the right toward the bar and the bathroom hallway is on the left toward the end of the bar.","Just walk right in, if questioned, say you're meeting a friend but they aren't there yet.",40.7304988,-74.0072168,2016-11-10 22:16:34.728000+00:00,2016-11-10 22:16:34.728000+00:00,0,0,US,False,26203,True,4.8966875012485565,309.68272595141
28465,Henrietta Hudson,438 Hudson St ,New York,NY,True,True,Right on the other side of the room when you walk in through the door,"They are very nice and accepting of gender identities there, so you can tell them as much or as little as you want about why you're there",40.7310687,-74.0064209,2017-02-24 05:31:13.120000+00:00,2017-02-24 05:31:13.120000+00:00,0,0,US,False,28465,True,4.897963768250651,310.34676854712
33528,Stonewall Inn,53 Christopher Street,New York,New York,True,True,"Has two bathrooms, intentionally gender neutral, one labeled 'All Gender,' one labeled 'Has Urinals.' Both are single occupancy. ","Stonewall Inn is a gay bar and National Monument. Iconic site of LGBT liberation. However, there is a reported case of sexual assault in the bathroom.",40.7338144,-74.0021628,2017-04-02 18:23:24.845000+00:00,2017-04-02 18:23:24.845000+00:00,0,1,US,False,33528,True,4.899715908974933,313.805814486469
1761,Madison Square Park,1 madison Ave,New York,NY,True,True,This a paid public toilet.  It is located across from the historic MetLife clock tower in Madison Square park.  It is located on the corner of 23rd Street and Madison Ave.,,40.74099349999999,-73.9875866,2014-02-02 20:51:32.337000+00:00,2014-02-02 20:51:32.337000+00:00,1,0,US,False,1761,True,4.900010724718643,325.34104263245
33120,Caffe Bene,17th St/8th Avenue,New York,NY,True,True,"In the back, door code 5836.(subject to change)",They don't really care if you have the door code already.,40.739152,-73.99279899999999,2017-03-03 21:27:46.551000+00:00,2017-03-03 21:27:46.551000+00:00,0,1,US,False,33120,True,4.923257411563321,321.419223546556
29873,Argo tea cafe,949 broadway,New york,New york,True,True,All the way to the right ,Must be a paying customer to get the code,40.7409957,-73.9896776,2017-02-25 21:09:26.638000+00:00,2017-02-25 21:09:26.638000+00:00,0,0,US,False,29873,True,4.951930316825129,324.071546990408
39658,Morandi,211 waverly pl ,New York,New York,True,True,"On the left when you walk into the restaurant it says WC on the door, they’re all private “water closets”. ",,40.73531699999999,-74.00142819999999,2018-01-26 16:23:38.679000+00:00,2020-04-14 21:20:58.494000+00:00,0,1,US,True,39658,True,4.958191179916444,314.934044906889
46353,Bearburger ,103 W 14th St,New York,NY,True,True,All the way in the back on the right of the bar ,"Two unisex, single-user restrooms. ",40.737849,-73.9971896,2018-12-08 22:25:33.607000+00:00,2018-12-08 22:25:33.641000+00:00,0,1,US,False,46353,True,4.971189213588907,318.371199117312
28661,Woodside Community Library,54-22 Skillman Ave,Woodside,NY,True,True,"On mezzanine level, accessible by stairs or elevator.  One public restroom, only one person at a time.  Get the key at the reference desk.  You will be prompted for a library card/some form of ID at the desk, for them to hold while you have the key.  This is because people steal the key.",,40.74535849999999,-73.909742,2017-02-24 16:48:49.632000+00:00,2017-02-24 16:48:49.632000+00:00,0,0,US,False,28661,True,4.979376630671907,27.1257491491
